question,gold
Ai là người sử dụng thuật ngữ Angiosperm và từ trái nghĩa của nó trong cùng ngữ cảnh?,Carolus Linnaeus
Nhà sinh học Hofmeister đã tìm ra những thay đổi xãy ra trong túi phôi của thực vật có hoa vào thời gian nào?,năm 1851
Ai là người đã tìm ra những thay đổi xãy ra trong túi phôi của thực vật có hoa vào thời gian nào?,Hofmeister
Năm 1851 nhà sinh học Hofmeister đã tìm ra điều gì ở thực vật có hoa?,các thay đổi xảy ra trong túi phôi của thực vật có hoa
Trước khi thuật ngữ Angiosperm được chấp nhận thì thuật ngữ gì được xem là phù hợp hơn?,Gymnosperm
Nhóm thực vật nào tiến hoá cao nhất?,thực vật hạt kín
Nhóm thực vật nào tạo thành thảm thực vật chủ yếu trên bề mặt của Trái Đất?,thực vật hạt kín
Thực vật hạt kín phân bố phổ biến ở đâu trên thế giới?,từ hai địa cực tới xích đạo
"Ở kỷ nguyên hiện tại, loài thực vật nào là chủ yếu tạo nên thảm thực vật cho bề mặt Trái Đất?",thực vật hạt kín
Người ta đã phát hiện được các mẫu hoá thạch của thực vật hạt kín vào thời gian nào?,khoảng 140 triệu năm trước
Vào kỷ Trias thì thực vật hạt kín đã tách khỏi ngành thực vật nào?,Dây gắm
Thuật ngữ chuyên ngành của ngành Dây gắm?,Gnetophyta
Các hoá thạch phấn hoa được tìm thấy có niên đại bao nhiêu?,tới 130 triệu năm
Nhóm thực vật nào chiếm tỉ lệ lớn trong số thực vật trên mặt đất vào cuối kỷ Phấn Trắng?,thực vật hạt kín
Archaefructus liaoningensis là hóa thạch được phát hiện vào kỷ nào?,kỷ Phấn trắng (kỷ Creta)
Thuật ngữ mang tính mô tả phổ biến nhất của thực vật có hoa là gì?,Angiospermae
Thuật ngữ mang tính mô tả phổ biến thứ hai của thực vật có hoa là gì?,Anthophyta
Hệ thống Engler sử dụng thuật ngữ nào để chỉ thực vật có hoa?,Angiospermae
"Hệ thống nào đã phân chia thực vật có hoa thành ba nhóm khác nhau như Magnoliopsida, Liliopsida và Rosopsida?",Reveal
Hệ thống nào xem thực vật có hoa ở cấp độ lớp?,Hệ thống Dahlgren và hệ thống Thorne
Theo hệ thống nào thì nhóm thực vật có hoa được xếp ở cấp độ lớp?,Hệ thống Dahlgren và hệ thống Thorne
Hệ thống phân loại nhóm thực vật Cronquist được nhà khoa học nào đề xuất?,Arthur Cronquist
Hệ thống phân loại nhóm thực vật Cronquist được nhà khoa học Cronquist đề xuất vào thời điểm nào?,năm 1968
Hệ thống phân loại nhóm thực vật Cronquist được nhà khoa học Cronquist công bố vào thời điểm nào?,năm 1981
Hệ thống phân loại nhóm thực vật nào được nhà khoa học Cronquist công bố vào năm 1981?,Cronquist
Tổ chức nào đã đề xuất sự phân loại thuyết phục hơn cho thực vật có hoa vào năm 1998?,Angiosperm Phylogeny Group
Trong hệ thống Cronquist chia thực vật có hoa thành mấy nhóm chính?,hai
Trong hệ thống Cronquist chia thực vật có hoa thành những nhóm nào?,"Magnoliopsida (ở cấp độ lớp, dựa trên tên gọi Magnolia) và Liliopsida (ở cấp độ lớp, dựa trên tên gọi Lilium"
Người ta chia thực vật có hoa thành thực vật một lá mầm và thực vật hai lá mầm dựa trên cơ sở nào?,số lượng lá mầm
Thực vật một lá mầm được xếp vào nhóm đơn ngành hay đa ngành?,đơn ngành
Thực vật hai lá mầm được xếp vào nhóm đơn ngành hay đa ngành?,đa ngành
"Nhóm ""thực vật hai lá mầm thật sự"" còn có tên gọi khác là gì?","""ba lỗ chân lông"""
Các bó mạch của trong các thân cây non hai lá mầm chia tách hai thành phần nào?,phần lõi xốp trung tâm với phần vỏ ngoài
Tầng phát sinh gỗ là gì?,"Trong mỗi bó, chia tách bởi phần chất gỗ và phần li be, là một lớp mô phân sinh hay mô hình thành đang hoạt động"
Nhận biết tuổi của cây dựa vào cơ sở nào?,vòng gỗ hàng năm
Cây hoa nào có thân chính không sinh cành và kết thúc của nó là hoa?,tulip
Hoa thường được tạo ra trên cành nào của cây?,các cành cao nhất trong hệ thống nhánh cây
Chồi mọc ở bộ phận nào trên cây?,nách lá
Cách nào có thể kích thích sự phát triển của chồi ngủ trong nhiều năm?,việc chặt hay xén tỉa cành
Loại rễ nào sẽ được thay thế khi rễ nguyên thuỷ tàn lụi ở thực vật một lá mầm?,các rễ ngẫu nhiên mọc từ thân cây
Đặc trưng của thực vật hạt kín là gì?,hoa
Chức năng của hoa là gì?,đảm bảo cho sự thụ phấn của noãn và phát triển của quả chứa các hạt
Chức năng của bộ nào trên cây làm nhiệm vụ đảm bảo sự thụ phấn và phát triển của trái chứa các hạt?,hoa
Hoa được tạo ra vị trí nào trên cây?,ở đầu ngọn hay ở nách lá
Bộ phận nào là đặc trưng đáng tin cậy nhất để thiết lập quan hệ giữa các loài thực vật hạt kín?,hoa
Tên gọi khác của tiểu bào tử trong hai loại bào tử được hoa tạo ra?,phấn hoa
Cây nào có hoa với một vài nhị hoa hay hai lá noãn?,liễu
Hoa có thể quyết rũ được côn trùng và chim nhờ vào gì?,"màu sắc và mùi, cũng như rất phổ biến là mật hoa được tiết ra từ một số bộ phận của hoa"
Những loài động vật nào giúp quá trình thụ phấn diễn ra hiệu quả hơn?,một số loài côn trùng hoặc chim chóc
Chức năng của côn trùng trong quá trình thụ phấn của cây?,giúp cho sự thụ phấn đạt hiệu quả hơn
Cơ quan sinh sản của thực vật có hoa là gì?,Hoa
"Nếu như nhị hoa được xem là bộ phận ""đực"" của thực vật có hoa thì bộ phận ""cái"" là bộ phận nào?",noãn hay bộ nhụy
Nơi diễn ra sự thụ phấn của thực vật có hoa là chỗ nào?,lá noãn hay bộ nhụy
"Trong thời gian thụ phấn, vị trí túi phôi như thế nào?","nằm gần với lớp màng bao phủ noãn, sao cho ống phấn hoa có thể thâm nhập vào, lớp tế bào thành ngăn trở thành có thể hấp thụ và các tế bào đực (phấn hoa) được bơm vào trong túi phôi"
Hiện tượng tăng gấp đôi khả năng thụ phấn là gì?,nhân nội nhũ
Có mấy hoạt động được thực hiện trong quá trình thụ phấn của túi phôi?,hai
Sự thụ phấn là một quá trình như thế nào?,sự hợp nhất của nhân đực thứ hai với nhân cuối cùng
Số lượng nhiễm sắc thể của hạt phấn và túi phôi như thế nào so với với số lượng nhiễm sắc thể của nhân thực vật thông thường?,một nửa
Số lượng nhiễm sắc thể hình thành đầy đủ trong quá trình nào của thụ phấn?,sự hợp nhất của các nhân đực và cái trong quá trình thụ phấn
"Trong bộ Corylaceae, ống phấn không thâm nhập theo màng bao noãn mà vượt qua thành bầu nhuỵ và thông qua thực giá noãn để thâm nhập vào phần cuối điểm hợp của noãn, đây là phương pháp thâm nhập gì?",điểm hợp
Những chi và bộ nào của thực vật có hoa có phương pháp thâm nhập điểm hợp?,"các chi Casuarina, Juglans và bộ Corylaceae"
Phương pháp thâm nhập gồm thâm nhập điểm hợp và phương pháp nào?,thâm nhập màng bao
Kết quả cuối cùng của sự thụ phấn là gì?,hạt
Sss?,"ạo ra một phần lá mầm đơn độc của thân phôi, phần trục và rễ của"
Dd?,ố thự
Sự phân chia của bộ phận nào trên hoa được diễn ra trước phân chia tế nào trứng?,nội nhũ
Tác dụng chính của nội nhũ là gì?,nuôi dưỡng phôi
"Để thực hiện chức năng cung cấp chất dinh dưỡng, nội nhũ tích luỹ trong các tế bào của nó những chất dinh dưỡng nào?","tinh bột, dầu hay xenluloza, chất nhầy và protein"
Các loài của các chi nào có hình thức sinh sản đơn tính?,"Thalictrum, Antennaria và Alchemilla"
"Những chi nào, đa phôi được hình thành từ việc sản xuất ngẫu nhiên các phôi có nguồn gốc từ các tế bào của phôi tâm xung quanh đỉnh của túi phôi?",chi Coelebogyne (họ Euphorbiaceae) và Funkia (họ Liliaceae)
"Các loài thuộc chi nào mà các phôi phát triển cùng một cá thể tế bào trứng, trong đó tế bào trứng không phát triển đầy đủ?",chi Allium
Đặc trưng của vỏ hạt ảnh hưởng đến đặc điểm của bộ phận nào trên cây?,đặc trưng của quả
Nơi nào là nơi mà phôi và nội nhũ hình thành và phát triển?,trong túi phôi
Tên gọi nào gắn liền với hạt có phôi nhũ hay ngoại nhũ hoặc cả phôi nhũ và ngoại nhũ cùng tồn tại?,có phôi nhũ hay có nội nhũ
Cơ quan nào của hoa có thể được phát triển thành quả hay vỏ quả?,thành của bầu nhụy
"Quả được chia thành 2 loại, một là quả nứt và hai là loại quả nào?",quả loại không nứt
Họ thực vật có hoa nào quan trọng nhất trong việc cung cấp lương thực?,Hòa thảo
Hãy kể tên các loại lương thực?,"lúa, ngô, lúa mì, lúa mạch, kê, yến mạch, lúa mạch đen, mía, lúa miến"
Họ thực vật có hoa nào có vai trò quan trọng đứng sau họ Hoà?,Đậu
"Táo, đào và mơ thuộc họ thực vật có hoa nào?",Hoa hồng
Hạt tiêu thuộc họ thực vật có hoa nào?,Cà
Phần cứng và phần mềm được sử dụng trong giáo dục và đào tạo bắt đầu từ thời gian nào?,từ đầu những năm 1940
"Đầu những năm 1940, các nhà nghiên cứ Mỹ đã có những bước đột phá gì?",phát triển các mô hình tập bay sử dụng máy tính analog để tạo ra các mô phỏng cài đặt trong thiết bị dữ liệu
Hệ thống the type19 synthetic radar trainer được xây dựng vào thời điểm nào?,năm 1943
Phần mềm PLATO được phát triển ở đâu?,ở đại học Illinois và TICCIT
Những tính năng nào được hỗ trợ trong máy tính Plato IV?,"các ảnh đồ họa, tạo ra âm thanh và hỗ trợ các thiết bị vào không qua bàn phím"
Người tiên phong phát triển phần cứng được cài đặt phần mềm giáo dục trong giai đoạn từ chiến tranh thế giới II đến giữa năm 1970 là ai?,PLATO (1960) được phát triển ở đại học Illinois và TICCIT (1969)
Sự xuất hiện của máy tính cá nhân đã tác động như thế nào trong lĩnh vực phần mềm?,tạo ra sự thay đổi trong lĩnh vực phần mềm với những ứng dụng cụ thể vào phần mềm giáo dục
"Trước năm 1975, những người sử dụng phải chịu những bất cập nào khi sử dụng các máy tính lớn?",phải chia sẻ thời gian sử dụng các máy tính lớn của các trường đại học hoặc chính phủ
"Sau khi máy tính cá nhân xuất hiện, nó đã đem lại cho người sử dụng những lợi ích nào?",họ có thể xây dựng vả sử dụng phần mềm cho máy tính ở nhà hoặc ở trường học
MECC là viết tắt của từ nào?,Minnesota Educational Computing Consortium
Broderbund và Learning Company là những công ty then chốt về lĩnh vực nào?,lĩnh vực phần mềm giáo dục
Việc thiết kế các phần mềm giáo dục tại nhà đã bị ảnh hưởng bởi phần mềm nào?,trò chơi trên máy tính
Trò chơi máy tính được thiết kế với mục đích gì?,để giải trí cũng như là để giáo dục
Các chức năng có thể chạy với tốc độ 1000s được phát triển và phân phối vào khoảng thời gian nào?,từ giữa 1990 đến nay
Mục đích của việc phát triển và phân phối các chức năng trong hệ máy Plato IV là gì?,giáo dục tại nhà cho trẻ nhỏ
Các bậc phụ huynh cần phải biết rõ điều gì để làm căn cứ lựa chọn phần mềm giáo dục?,cần thấy rõ sự khác biệt giữa các chức năng học thực sự (như ở đây) và phần mềm thiên về mặt giáo dục
Những phần mềm được thiết kế để sử dụng trong lớp học là loại phần mềm nào?,là các phần mềm được chiếu lên một bảng trắng lớn ở trước lớp và chạy đồng thời trên màn hình các máy tính khác trong phòng
The schoolzone.co.uk Guide to Digital Resources là gì?,"là một tài liệu hướng dẫn đầy đủ về 500 sản phẩm được lựa chọn và giới thiệu, được phân loại theo môn học của hệ thống các trường UK"
"Trong khi giáo viên sử dụng phần mềm giáo dục từ các loại khác trong hệ thống IT, loại phần mềm giáo dục phát triển nhanh với sự kì vọng như thế nào?",được mong đợi sẽ trợ giúp việc giảng dạy tại lớp học
Giáo viên có thể tham khảo ở đâu để lựa chọn sử dụng phần mềm giáo dục?,"The schoolzone.co.uk Guide to Digital Resources, 5th ed. (2005)"
"Theo nghĩa rộng, các chương trình giải trí mang tính giáo dục phải đáp ứng điều kiện gì?",phải có chủ định lồng ghép các trò chơi máy tình và phần mềm giáo dục thành một sản phẩm
"Trong phạm vi hẹp hơn, các phần mềm giáo dục mang đặc điểm gì?",mang tính giải trí nhưng phải hướng đến giáo dục và có phần quản lý của cơ quan giáo dục
Các phần mềm giáo dục mang tính giải trí không bao gồm những gì?,các chỉ dẫn học tập
Các phần mềm giáo dục mang tính giải trí không tập trung vào những yếu tố nào?,các kỹ năng cốt lõi như là đọc viết và số học
"Để có thể bao gồm nhiều chức năng quan trọng được thiết kế dựa trên các phần mềm dạy trẻ em, các chương trình giải trí mang tính giáo dục phải như thế nào?",phải có chủ định lồng ghép các trò chơi máy tình và phần mềm giáo dục thành một sản phẩm
Các phần mềm tham khảo cho dạy học được các nhà xuất bản từ điển và sách giáo khoa sản xuất vào khoảng thời gian nào?,từ giữa những năm 1990
Làm thế nào để các nhà xuất bản từ điển và sách giáo khoa tham gia vào thị trường phần mềm tham khảo?,họ thành lập các công ty và sản xuất các phần mền
Phầm mềm tham khảo thương mại đầu tiên được xuất bản dưới dạng nào?,dạng CD-ROM
Các phần mềm gần đây đã sử dụng công nghệ nào để thay thế hoàn toàn CD-ROM?,công nghệ internet
"Trên Wikipedia và các thành phần của nó, sách giáo khoa và từ điển được biên soạn nội dung dựa trên cơ sở nào?",cho phép phát triển sự cộng tác các việc tham khảo qua việc mở rộng sự cộng tác của các nhà chuyên gia và không chuyên
"Theo quan điểm của một số nhà sản xuất, màn hình nền máy tính là một môi trường như thế nào?",không thích hợp cho các phần mềm giáo dục cho trẻ em
Làm thế nào để các nhà sản xuất giúp cho màn hình máy tính trở nên thích hợp và thuận tiện với trẻ em hơn?,tạo ra một nền thân thiện với trẻ em được cài đặt vào phần cứng
Phần cứng và phần mềm kết hợp với nhau để tạo thành sản phẩm như thế nào?,thành một sản phẩm như là laptop có kích thước phù hợp cho trẻ em
"Leapfrog là một sản phẩm nổi tiếng về loại mặt hàng điện tử, vậy nó có đặc điểm cấu tạo như thế nào?",bao gồm các thiết bị điều khiển cầm tay được thiết kế theo tưởng tượng cùng rất nhiều hộp đồ chơi và thiết bị điện tử có hình dạng như cuốn sách có thể mang di lại dễ dạng
"Không giống như latop, những sản phẩm như Leapfrog có chức năng chủ yếu là gì?",tập trung vào việc dạy đọc viết và số học
"Trong những năm sau 2000, cá nhà lập kế hoạch đã có những quyết định như thế nào?",quyết định chuyển thành các ứng dụng dựa trên sever với sự chuẩn hóa mức độ cao
"Quyết định chuyển thành các ứng dụng dựa trên sever với sự chuẩn hóa mức độ cao, đã đem lại lợi ích gì?",hàng trăm hoặc hàng nghìn người từ rất xa có thể là người sử dụng đồng thời
Phần mềm trên server có nhiệm vụ gì?,"quyết định những tài liệu học tập nào để phân phối, thu lượm kết quả và hiện thị quá trinh đến nhiệm vụ dạy học"
Các phần mềm giáo dục đầu tiên trong lĩnh vực giáo dục đại học (cao đẳng) được thiết kế hoạt động trên nền tảng nào?,trên máy tính đơn (hoặc các thiết bị cầm tay)
"Lịch sử của các phần mềm giáo dục đầu tiên trong lĩnh vực giáo dục đại học (cao đẳng) được tóm tắt, ghi nhận ở đâu?",trong SCORM 2004 2nd edition Overview (phần 1.3)
Ngôn ngữ lập trình thế hệ đầu tiên là ngôn ngữ gì?,Mã máy nhị phân
"Dù có thể sử dụng mã máy nhị phân để lập trình, nhưng tại sao các lập trình viên lại không sử dụng nó?",rất khó khăn và dễ gây ra những lỗi nghiêm trọng vì ta cần phải quản lý từng bit đơn lẻ và tính toán các địa chỉ và hằng số học một cách thủ công
Dù bất tiện và dễ sai sót nhưng vì lí do gì mà đôi lúc các lập trình viên lại phải sử dụng mã máy nhị phân?,những thao tác cần tối ưu và gỡ lỗi chuyên biệt
Ngôn ngữ lập trình đời đầu tiên là gì?,Mã máy nhị phân
Phần lớn các phần mềm hiện nay được lập trình bằng ngôn ngữ gì?,các ngôn ngữ bậc cao hay (đôi khi) hợp ngữ
Ngoài ngôn ngữ bậc cao thì các lập trình viên còn sử dụng ngôn ngữ nào để viết chương trình?,ngôn ngữ thông dịch
Để máy tính có thể hiểu và thực thi các chương trình được viết bằng ngôn ngữ bậc cao thì cần các công cụ phụ trợ nào?,"các công cụ phụ trợ như trình biên dịch, trình hợp dịch hay trình liên kết"
Thành phần nào thường có trong các trình thông dịch?,các mã máy thực thi trực tiếp
Các chương trình máy tính chỉ có thể được thực thi dưới dạng gì?,mã máy thực thi
Điểm chung của mọi vi xử lý hay họ xử lý là gì?,đều có những tập chỉ thị mã máy riêng biệt
Thế nào là chỉ thị mã máy?,là các mẫu bit được thiết kế tương ứng với những lệnh khác nhau của máy tính
Tính kế thừa của vi xử lý được thể hiện như thế nào?,Những thiết kế vi xử lý kế thừa thường bao gồm các chỉ thị của vi xử lý tiền nhiệm cùng với các chỉ thị mới
Việc loại bỏ hay thay đổi một số tính năng mã chỉ thị gây hậu quả như thế nào?,"ảnh hưởng đến sự đồng bộ mã nguồn ở một mức độ nhất định. Thậm chí, các vi xử lý đồng bộ cận hoàn toàn cũng có những sự biến đổi hành vi đối với một số chỉ thị, nhưng điều này rất hiếm xảy ra"
"Tại sao mặc dù gây ra những ảnh hưởng nhất định, nhưng các thiết kế vi xử lý kế thừa vẫn loại bỏ hay thay đổi tính năng mã chỉ thị?",cần dùng cho mục đích mới
Tần suất xảy ra hiện tượng các vi xử lý đồng bộ cận có những sự biến đổi hành vi đối với một số chỉ thị như thế nào?,rất hiếm xảy ra
Việc sắp xếp các bit khác nhau gây tác động như thế nào?,thay đổi rất lớn giữa các kiến trúc khác nhau hay các loại chỉ thị khác nhau
Tại sao phần lớn các chỉ thị lại luôn có một hay nhiều vùng mã vận hành?,"để phân biệt các chỉ thị cơ sở (như tính toán hay nhảy) và các chỉ thị thực (như cộng hay so sánh), và các vùng khác biểu diễn loại toán hạng, phương thức biểu diễn địa chỉ, các chỉ số địa chỉ hay các giá trị thực"
Nguyên nhân gì dẫn đến sự khác nhau giữa các loại kiến trúc hay các loại chỉ thị?,Cách các bit được sắp xếp
Các toán hạng được chứa trong chỉ thị như thế nào thì được gọi là giá trị tức thời?,các chỉ thị thực (như cộng hay so sánh)
Những lợi ích nào có được từ sự khác nhau giữa toán tử hiện và ẩn?,"sử dụng nhiều hơn hằng số có phạm vi rộng, 'uốn nắn' các thanh ghi liên tục (lưu giá trị hằng số khác đè lên giá trị đã có của thanh ghi) và rất nhiều ưu điểm vượt trội khác"
Điểm nào trong vi xử lí ID trong kiến trúc x86 cho thấy chỉ thị chuyên biệt cũng thiếu toán tử hiện?,ghi giá trị vào bốn thanh ghi địa điểm ẩn
Điểm nào cho thấy không phải máy tính hay chỉ thị đơn lẻ đều có toán hạng hiện?,Một máy tính thanh chứa có sự kết hợp giữa toán hạng trái và kết quả tính toán lưu trong một thanh chứa ẩn đối với hầu hết các chỉ thị đại số
Hiện tượng những chỉ thị chuyên biệt thiếu toán tử hiện có thể xảy ra ở kiến trúc nào?,kiến trúc x86
Những lợi ích mà vi chương trình đem lại là gì?,giúp việc chuyển chương trình mã máy qua các mô hình máy tính khác nhau dễ dàng hơn rất nhiều
Vi chương trình có tác dụng gì?,"tạo một giao diện ngôn ngữ máy thống nhất giữa các mô hình máy tính khác nhau, với những mạch xử lý dữ liệu khác nhau, trong cùng một dòng hay họ"
Những ưu điểm nào mà vi chương trình đem lại đối với họ máy tính và vi xử lý IBM System/360?,"Mặc dù dòng xử lý dữ liệu có độ lớn khác nhau, từ 8 bits đến lớn hơn 16 bits, nhưng tất cả máy tính thuộc cùng một dòng đều sử dụng một kiến trúc máy tính thống nhất ở mức độ ngôn ngữ máy"
Điểm khác biệt hoàn toàn giữa kiến trúc Harvard và Von Neumann là gì?,"dữ liệu và mã được lưu vào cùng bộ nhớ, và vi xử lý đọc chúng giúp máy tính thực thi các lệnh"
Ưu điểm mà kiến trúc Modified Harvard đem lại là gì?,có thể hỗ trợ các thao tác như tải chương trình từ ổ cứng giống như dữ liệu và thực thi nó
Hãy nêu đặc điểm của kiến trúc Harvard?,là kiến trúc máy tính có các bộ nhớ riêng lẻ và các đường tín hiệu cho mã (chỉ thị) và dữ liệu
Vì mục đích nào mà đa số các vi xử lí hiện nay được cài đặt như là những đường tín hiệu?,để cải thiện hiệu năng
Edward I còn được gọi là gì?,còn được gọi lav Edward Longshanks và Kẻ đánh bại người Scots (Latin: Malleus Scotorum)
Edward I là ai?,là Vua của Anh từ 1272 đến 1307
"Dưới thời Henry III, Edward I đã làm những việc làm 'tai tiếng' nào?","Edward có dính líu đến những âm mưu chính trị dưới thời phụ hoàng, bao gồm cả cuộc nổi dậy của các nam tước"
"Năm 1259, Edward đã có hành đồng gì chống đối lại phụ hoàng?","ông tham gia vào phong trào cải cách của các nam tước trong một thời gian ngắn, ủng hộ Điều khoản Oxford"
"Sau khi trận Lewes diễn ra, điều gì đã xảy ra đối với Edward I?",Edward bị các nam tước nổi loạn bắt làm con tin
Sự kiện quan trọng liên quan đến Edward khi ông 33 tuổi là gì?,ông nhận được tin phụ vương đã băng hà
Edward I đã làm những gì vào triều đại của mình?,ông dành nhiều thời gian cải cách chính phủ hoàng gia và luật pháp công cộng
Edward I đã có những cuộc điều tra qui mô lớn về điều gì?,điều tra về sự chiếm hữu đất đai của nhiều quý tộc phong kiến
Với thành công trong cuộc chiến tranh xâm lược toàn diện vào xứ Wales năm 1282-83 Edward I đã có những việc làm gì sau đó?,"Edward đắt xứ Wales dưới quyền tể trị của Anh, xây dựng hàng loạt lâu đài và thị trấn ở nông thôn và đưa người Anh đến định cư"
"Giữa những năm 1290, Edward đã phải đối mặt với những thách thức gì?","những chiến dịch quân sự quy mô lớn đòi hỏi phải tăng thuế, và Edward phải đối mặt với phe chống đối"
"Khi Edward I băng hà vào năm 1307, những vấn đề nào còn tồn đọng từ thời ông cho đến triều đại Edward II?","một cuộc chiến tranh với Scotland vẫn còn tiếp diễn và nhiều vẫn đề tài chính, chính trị"
Cha của Edward II đã làm gì khiến cho nhiều người trở nên chống đối ông?,tăng thuế
"Vì sao Edward I có biệt danh là ""Longshanks""?",Edward I là một người cao lớn trong thời đại của mình
"Bên cạnh chiều cao ""khổng lồ"" của mình, đặc điểm gì của Edward khiến người cùng thời của ông phải cảm thấy đáng sợ?",Tính khí của ông thất thường
Các sử gia hiện đại đã có những đánh giá như thế nào dành cho Edward I?,"chia ra hai luồng ý kiến: trong khi một số khen ngợi ông vì những đóng góp của ông cho pháp luật và hành chính, những người khác chỉ trích ông vì thái độ kiên quyết đối với giới quý tộc"
